Date	Value
1/8/1971 16:00:00	0.600
1/15/1971 16:00:00	0.632
1/22/1971 16:00:00	0.670
1/29/1971 16:00:00	0.710
2/5/1971 16:00:00	0.753
2/12/1971 16:00:00	0.796
2/19/1971 16:00:00	0.838
2/26/1971 16:00:00	0.879
3/5/1971 16:00:00	0.922
3/12/1971 16:00:00	0.967
3/19/1971 16:00:00	1.019
3/26/1971 16:00:00	1.078
4/2/1971 16:00:00	1.145
4/9/1971 16:00:00	1.218
4/16/1971 16:00:00	1.294
4/23/1971 16:00:00	1.365
4/30/1971 16:00:00	1.425
5/7/1971 16:00:00	1.465
5/14/1971 16:00:00	1.477
5/21/1971 16:00:00	1.456
5/28/1971 16:00:00	1.403
6/4/1971 16:00:00	1.322
6/11/1971 16:00:00	1.222
6/18/1971 16:00:00	1.119
6/25/1971 16:00:00	1.030
7/2/1971 16:00:00	0.971
7/9/1971 16:00:00	0.959
7/16/1971 16:00:00	1.001
7/23/1971 16:00:00	1.102
7/30/1971 16:00:00	1.255
8/6/1971 16:00:00	1.447
8/13/1971 16:00:00	1.657
8/20/1971 16:00:00	1.862
8/27/1971 16:00:00	2.038
9/3/1971 16:00:00	2.168
9/10/1971 16:00:00	2.238
9/17/1971 16:00:00	2.248
9/24/1971 16:00:00	2.200
10/1/1971 16:00:00	2.106
10/8/1971 16:00:00	1.979
10/15/1971 16:00:00	1.839
10/22/1971 16:00:00	1.700
10/29/1971 16:00:00	1.578
11/5/1971 16:00:00	1.482
11/12/1971 16:00:00	1.416
11/19/1971 16:00:00	1.378
11/26/1971 16:00:00	1.363
12/3/1971 16:00:00	1.362
12/10/1971 16:00:00	1.366
12/17/1971 16:00:00	1.365
12/24/1971 16:00:00	1.349
12/31/1971 16:00:00	1.317
1/7/1972 16:00:00	1.259
1/14/1972 16:00:00	1.183
1/21/1972 16:00:00	1.091
1/28/1972 16:00:00	0.989
2/4/1972 16:00:00	0.885
2/11/1972 16:00:00	0.784
2/18/1972 16:00:00	0.691
2/25/1972 16:00:00	0.608
3/3/1972 16:00:00	0.536
3/10/1972 16:00:00	0.477
3/17/1972 16:00:00	0.426
3/24/1972 16:00:00	0.382
3/31/1972 16:00:00	0.340
4/7/1972 16:00:00	0.296
4/14/1972 16:00:00	0.250
4/21/1972 16:00:00	0.201
4/28/1972 16:00:00	0.153
5/5/1972 16:00:00	0.108
5/12/1972 16:00:00	0.070
5/19/1972 16:00:00	0.043
5/26/1972 16:00:00	0.033
6/2/1972 16:00:00	0.040
6/9/1972 16:00:00	0.066
6/16/1972 16:00:00	0.107
6/23/1972 16:00:00	0.160
6/30/1972 16:00:00	0.216
7/7/1972 16:00:00	0.268
7/14/1972 16:00:00	0.310
7/21/1972 16:00:00	0.334
7/28/1972 16:00:00	0.337
8/4/1972 16:00:00	0.319
8/11/1972 16:00:00	0.280
8/18/1972 16:00:00	0.224
8/25/1972 16:00:00	0.159
